"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2024","63,202.40","63,579.97","63,579.97","62,528.56","","-0.57%"
"01/17/2024","63,567.34","63,692.22","64,043.87","63,290.18","","-0.27%"
"01/16/2024","63,737.46","64,246.68","64,246.68","63,397.94","","-0.83%"
"01/15/2024","64,269.38","64,885.15","65,173.87","64,130.96","","-0.57%"
"01/12/2024","64,637.64","64,917.06","65,356.85","64,491.08","","0.03%"
"01/11/2024","64,617.57","64,057.49","64,700.97","63,914.94","","1.09%"
"01/10/2024","63,919.85","64,234.83","64,550.94","63,873.63","","-0.39%"
"01/09/2024","64,170.58","64,536.58","64,786.35","63,878.22","","-0.10%"
"01/08/2024","64,237.03","64,684.23","65,069.43","64,183.53","","-0.43%"
"01/05/2024","64,514.90","64,738.85","65,077.48","63,757.96","","-0.19%"
"01/04/2024","64,639.16","64,815.34","64,936.76","64,098.11","","-0.01%"
"01/03/2024","64,646.85","64,504.22","65,244.60","64,219.54","","0.46%"
"01/02/2024","64,349.60","65,120.39","65,333.70","64,213.63","","-0.48%"
"01/01/2024","64,661.78","62,696.99","64,718.88","62,672.97","","3.54%"
