Years,Invested,Value,Profit,Return_%
3,1800000,2172355.852052485,251503.09320551506,13.97239406697306
5,3000000,4145083.9028038206,904777.7327792784,30.159257759309284
10,6000000,11886273.369886983,5177219.625627473,86.28699376045789
15,9000000,26343402.771958705,15758935.195440203,175.0992799493356
20,12000000,53342947.40744223,38123592.6979906,317.6966058165883
