Date,Conservative,Moderate,Aggressive
2010-02-28,0.008176506597858567,0.008660628654176834,0.0091447507104951
2010-03-31,0.037973625123050365,0.04839012002109923,0.0588066149191481
2010-04-30,0.020244288614875466,0.024751004676866032,0.0292577207388566
2010-05-31,-0.058318331845454076,-0.0799991559369067,-0.1016799800283593
2010-06-30,0.031031278144408522,0.039133657382910116,0.0472360366214117
2010-07-31,0.054921279124252945,0.07098699202270267,0.0870527049211524
2010-08-31,-0.03506344155046965,-0.048992635543594135,-0.0629218295367186
2010-09-30,0.017755593622201225,0.021432744686633715,0.0251098957510662
2010-10-31,0.040702902290976624,0.052029156245000915,0.0633554101990252
2010-11-30,0.04167562197772107,0.05332611582732683,0.0649766096769326
2010-12-31,0.04775270513744949,0.0614288933736314,0.0751050816098133
2011-01-31,0.022351265775586045,0.027560307557813475,0.0327693493400409
2011-02-28,-0.04681462641264993,-0.06466088202650118,-0.0825071376403524
2011-03-31,0.03325496316354159,0.042098570741754195,0.0509421783199668
2011-04-30,0.018113138796625586,0.021909471585866192,0.0257058043751068
2011-05-31,0.008723546169023546,0.009390014749063475,0.0100564833291034
2011-06-30,0.024001917630010767,0.029761176697046435,0.0355204357640821
2011-07-31,-0.009322297024773635,-0.014671109509332767,-0.020019921993891902
2011-08-31,-0.049996993003155875,-0.06890403748050909,-0.0878110819578623
2011-09-30,0.04312999082430782,0.05526527428944251,0.06740055775457719
2011-10-31,0.010925147547581065,0.012325483253806835,0.013725818960032601
2011-11-30,-0.011647564779362194,-0.01777146651545085,-0.0238953682515395
2011-12-31,-0.004250081299640193,-0.007908155209154848,-0.011566229118669499
2012-01-31,0.03347920837880072,0.04239756436209971,0.0513159203453987
2012-02-29,0.056413135925900366,0.07297613442489924,0.0895391329238981
2012-03-31,0.04686119294624804,0.06024021045202947,0.0736192279578109
2012-04-30,0.015465421044659004,0.018379181249910753,0.021292941455162497
2012-05-31,-0.003349894934269654,-0.006707906721994127,-0.010065918509718599
2012-06-30,0.006087078454905745,0.005874724463573073,0.0056623704722403995
2012-07-31,0.039354202946130144,0.050230890451872276,0.0611075779576144
2012-08-31,0.03916394992199031,0.04997721975301915,0.060790489584048
2012-09-30,0.007527183248054005,0.007794864187770753,0.0080625451274875
2012-10-31,0.023620671877798347,0.029252849027429875,0.0348850261770614
2012-11-30,0.030616925530478664,0.038581187231003636,0.0465454489315286
2012-12-31,0.017509393999683626,0.021104478523276914,0.0246995630468702
2013-01-31,0.017484788387259264,0.021071671040044433,0.0246585536928296
2013-02-28,0.03802242752924576,0.04845518989602643,0.058887952262807096
2013-03-31,0.0011107418686167258,-0.0007603909848122872,-0.0026315238382413
2013-04-30,0.036850349941163485,0.0468924197785834,0.0569344896160033
2013-05-31,0.09575059676817674,0.12542608221460108,0.1551015676610254
2013-06-30,-0.017163818594797955,-0.02512647160269853,-0.033089124610599104
2013-07-31,0.07172278136287885,0.09338899500753724,0.1150552086521956
2013-08-31,-0.02438021165195325,-0.034748329012238933,-0.0451164463725246
2013-09-30,-0.0034973022483545738,-0.006904449807440687,-0.010311597366526799
2013-10-31,0.03151080707928326,0.039773029296076436,0.0480352515128696
2013-11-30,0.045883643552932646,0.05893681126094227,0.0719899789689519
2013-12-31,0.029253408142062808,0.03676316404644915,0.0442729199508355
2014-01-31,0.041829589484151566,0.05353140583590083,0.0652332221876501
2014-02-28,-0.017116050259883133,-0.02506278048947877,-0.0330095107190744
2014-03-31,0.03766194150531273,0.04797454186411571,0.0582871422229187
2014-04-30,0.044393310473066785,0.056949700487787795,0.0695060905025088
2014-05-31,0.022653809987598385,0.027963699840496594,0.0332735896933948
2014-06-30,0.0037114096265204654,0.002707166025726033,0.0017029224249316
2014-07-31,0.018903579486030744,0.022963392505073073,0.0270232055241154
2014-08-31,-0.02932671320741001,-0.04134366441951461,-0.0533606156316192
2014-09-30,0.029916400744285827,0.03764715418274651,0.0453779076212072
2014-10-31,0.018638685384324925,0.022610200369465313,0.026581715354605698
2014-11-30,0.021759659641345647,0.026771499378826277,0.0317833391163069
2014-12-31,0.023493599087096428,0.029083418639827316,0.0346732381925582
2015-01-31,0.048875462806093284,0.06292590359848979,0.0769763443908863
2015-02-28,-0.008782000105738234,-0.013950713617285566,-0.0191194271288329
2015-03-31,-0.05554020032901135,-0.07629498058164973,-0.0970497608342881
2015-04-30,0.07522530766109947,0.0980590300718314,0.1208927524825633
2015-05-31,-0.006604772431377815,-0.011047743384805008,-0.0154907143382322
2015-06-30,0.029941104890568986,0.03768009304445739,0.0454190811983458
2015-07-31,0.028995533023294225,0.03641933055475771,0.0438431280862212
2015-08-31,-0.011698913620657534,-0.01783993163717797,-0.023980949653698402
2015-09-30,-0.03694861866515547,-0.05150620502984189,-0.0660637913945283
2015-10-31,0.04234022097375524,0.05421224782203907,0.06608427467032289
2015-11-30,-0.029902020807913952,-0.04211074122018653,-0.0543194616324591
2015-12-31,0.015938114869693824,0.01900943968329051,0.022080764496887197
2016-01-31,-0.022471403450924913,-0.0322032514108678,-0.0419350993708107
2016-02-29,0.006806943686018966,0.0068345447717240325,0.006862145857429099
2016-03-31,0.039481858775299944,0.05040109822409867,0.06132033767289739
2016-04-30,0.034218587792913986,0.04338340358091739,0.0525482193689208
2016-05-31,0.028771352902686984,0.036120423727281394,0.0434694945518758
2016-06-30,0.03425745911741306,0.043435232013582833,0.0526130049097526
2016-07-31,0.032940258020938286,0.04167896388494979,0.0504176697489613
2016-08-31,0.010088276558507366,0.011209655268375236,0.012331033978243101
2016-09-30,0.016540019576550925,0.019811979292433314,0.0230839390083157
2016-10-31,-0.004205939202695314,-0.007849299079895008,-0.0114926589570947
2016-11-30,0.04671589969687779,0.060046486119535794,0.0733770725421938
2016-12-31,0.07884960733101133,0.10289142963171387,0.1269332519324164
2017-01-31,0.017440990914173244,0.021013274409263073,0.0245855579043529
2017-02-28,0.0026740186831418654,0.001323978101221233,-2.606248069940008e-05
2017-03-31,0.0007356761145996861,-0.0012604786568350072,-0.0032566334282697
2017-04-30,0.019788655246026444,0.024143493518400675,0.0284983317907749
2017-05-31,0.021238948780824145,0.026077218231464274,0.0309154876821044
2017-06-30,-0.04258929371080023,-0.05902710509070157,-0.0754649164706029
2017-07-31,-0.0017512351554333342,-0.004576360350212368,-0.0074014855449914
2017-08-31,-0.05756533747662051,-0.07899516344512862,-0.1004249894136367
2017-09-30,0.023047736257003345,0.028488934866369872,0.033930133475736396
2017-10-31,-0.03429270140026179,-0.047964982009983656,-0.0616372626197055
2017-11-30,0.011428927369241067,0.012997189682686835,0.014565451996132602
2017-12-31,0.012395002736801186,0.014285290172766996,0.0161755776087328
2018-01-31,0.05878743329757704,0.07614186425380147,0.09349629521002589
2018-02-28,-0.0056525157367997144,-0.009778067792034205,-0.013903619847268699
2018-03-31,0.037832282209271546,0.048201662802727474,0.0585710433961834
2018-04-30,0.004493348969896766,0.003749751816894433,0.0030061546638920997
2018-05-31,-0.029614635582507515,-0.041727560919644614,-0.0538404862567817
2018-06-30,-0.007740352575915454,-0.012561850244188525,-0.0173833479124616
2018-07-31,0.016981363818020966,0.020400438281060033,0.0238195127440991
2018-08-31,-0.008268523508217933,-0.013266078153925167,-0.0182636327996324
2018-09-30,-0.005311869740799694,-0.009323873130700846,-0.013335876520601999
2018-10-31,0.015019002558839844,0.017783956602151874,0.020548910645463898
2018-11-30,-0.011272116950522494,-0.01727086941033125,-0.023269621870140002
2018-12-31,-0.04566705132544498,-0.06313078191022789,-0.0805945124950108
2019-01-31,0.06621595398844124,0.08604655850828707,0.1058771630281329
2019-02-28,-0.020370922482304953,-0.02940261011937453,-0.0384342977564441
2019-03-31,-0.0008227152264299739,-0.0033383337782078876,-0.0058539523299858
2019-04-30,-0.023680301633668712,-0.03381511565452621,-0.0439499296753837
2019-05-31,-0.007843780384764935,-0.012699753989321168,-0.017555727593877402
2019-06-30,-0.029339761164856475,-0.041361061696109896,-0.053382362227363304
2019-07-31,-0.02950652775260961,-0.041583417146447414,-0.0536603065402852
2019-08-31,-0.03738480698385477,-0.05208778945477429,-0.0667907719256938
2019-09-30,0.054390036360102145,0.07027866833716828,0.0861673003142344
2019-10-31,0.045414122369695165,0.05831078301662563,0.0712074436635561
2019-11-30,0.09514274937673706,0.12461561902601484,0.1540884886752926
2019-12-31,0.027673717129648764,0.03465690936323043,0.0416401015968121
2020-01-31,0.018712037372236708,0.022708003020014356,0.026703968667792
2020-02-29,-0.04743346223508507,-0.0654859964564147,-0.0835385306777443
2020-03-31,-0.13361570413901447,-0.18039565232832053,-0.2271756005176266
2020-04-30,0.10618963265251717,0.13934479672705502,0.1724999608015928
2020-05-31,0.002247859031347826,0.0007557652321625128,-0.0007363285670228
2020-06-30,0.014167056121401145,0.016648028018900272,0.019128999916399398
2020-07-31,0.09023561816322272,0.11807277740799571,0.1459099366527687
2020-08-31,0.03391704128925849,0.04298134157604339,0.0520456418628283
2020-09-30,-0.0024793589176129536,-0.005547192033118528,-0.0086150251486241
2020-10-31,-0.0047270959410062735,-0.008544174730976288,-0.012361253520946299
2020-11-30,0.023305301729122704,0.02883235549586235,0.034359409262601996
2020-12-31,0.04491824260282479,0.057649609994131795,0.0703809773854388
2021-01-31,0.041716373686070604,0.05338045143845955,0.0650445291908485
2021-02-28,-0.0013325797450625743,-0.004018153136384687,-0.0067037265277068
2021-03-31,-0.011365571319890492,-0.01739547523615525,-0.02342537915242
2021-04-30,0.0010339884840636856,-0.0008627288308830073,-0.0027594461458297003
2021-05-31,0.05498770242305967,0.07107555642111163,0.0871634104191636
2021-06-30,-0.001368444823211794,-0.004065973240583647,-0.0067635016579555
2021-07-31,0.0016071855585329056,-9.846606492404722e-05,-0.001804117688381
2021-08-31,0.010113850613886626,0.011243754008880915,0.0123736574038752
2021-09-30,-0.02663357936283825,-0.037752819293418935,-0.0488720592239996
2021-10-31,0.023172902236114463,0.028655822838518034,0.0341387434409216
2021-11-30,-0.009531329201747613,-0.014949819078631405,-0.0203683089555152
2021-12-31,-0.0009379321652424938,-0.003491956363291247,-0.00604598056134
2022-01-31,0.015976260293853024,0.019060300248836114,0.0221443402038192
2022-02-28,-0.006712492229264614,-0.011191369781987407,-0.0156702473347102
2022-03-31,0.011789700176409805,0.013478220092245155,0.015166740008080501
2022-04-30,0.009745800578170767,0.010753020627926435,0.011760240677682101
2022-05-31,-0.023518985388626793,-0.03360002732780366,-0.0436810692669805
2022-06-30,-0.016097173993343372,-0.02370427880075909,-0.0313113836081748
2022-07-31,-0.014760918660477275,-0.02192260502360429,-0.0290842913867313
2022-08-31,0.03851972730915525,0.049118256269239075,0.0597167852293229
2022-09-30,-0.011980571614460854,-0.018215475628915727,-0.0244503796433706
2022-10-31,0.007435100347120885,0.007672086986526592,0.0079090736259323
2022-11-30,0.021292831624842683,0.026149062023488993,0.031005292422135296
2022-12-31,-0.022038366848309433,-0.03162586927404717,-0.0412133716997849
2023-01-31,0.009211265220941307,0.010040306818287156,0.010869348415633001
2023-02-28,0.0030256894083035652,0.0017928724014368328,0.0005600553945701
