Date,Close,Price_Return,Dividend_Yield_Monthly,Total_Return,TR_Index,Price_Index
2010-02-28,9657.79,0.004534963423855842,0.005833333333333334,0.010394750710495115,101.03947507104951,100.45349634238559
2010-03-31,10178.43,0.05390881350702381,0.005833333333333334,0.060056614919148155,107.10756391702441,105.86882514283576
2010-04-30,10428.12,0.024531288224215464,0.005833333333333334,0.03050772073885666,110.37517156602424,108.46592380637372
2010-05-31,9326.42,-0.10564703896771432,0.005833333333333334,-0.10042998002835934,99.29019529002169,97.00682012733263
2010-06-30,9721.91,0.04240533881167696,0.005833333333333334,0.04848603662141171,104.1043833350008,101.12042720187557
2010-07-31,10519.02,0.08199109022815487,0.005833333333333334,0.08830270492115244,113.29708197762993,109.41140127249412
2010-08-31,9813.05,-0.06711366648223893,0.005833333333333334,-0.06167182953671868,106.3098436508979,102.06840097813755
2010-09-30,10013.31,0.020407518559469207,0.005833333333333334,0.02635989575106623,109.11216004684772,104.15136376543424
2010-10-31,10598.4,0.05843122803548484,0.005833333333333334,0.06460541019902521,116.161395904376,110.23705585181906
2010-11-30,11234.76,0.06004302536231898,0.005833333333333334,0.06622660967693261,123.85437133046275,116.85602219219722
2010-12-31,12022.46,0.07011275719285504,0.005833333333333334,0.0763550816098133,133.31128196113235,125.04912010268161
2011-01-31,12359.36,0.02802255112514418,0.005833333333333334,0.034019349340040916,137.8464450331368,128.55331546391332
2011-02-28,11289.22,-0.08658538953473327,0.005833333333333334,-0.08125713764035247,126.64543747584594,117.42247656848892
2011-03-31,11809.54,0.0460899867307043,0.005833333333333334,0.05219217831996681,133.2553387319955,122.834476955417
2011-04-30,12057.54,0.02099997120971686,0.005833333333333334,0.026955804375106807,136.84734357479377,125.41399743504138
2011-05-31,12123.15,0.005441408446498874,0.005833333333333334,0.011306483329103445,138.39460578355425,126.09642621999359
2011-06-30,12496.03,0.030757682615491833,0.005833333333333334,0.03677043576408212,143.48343574561392,129.97486007661593
2011-07-31,12190.37,-0.024460568676611727,0.005833333333333334,-0.018769921993891936,140.79026284925314,126.79560108547886
2011-08-31,11070.58,-0.09185857361179361,0.005833333333333334,-0.08656108195786238,128.60330536788996,115.14833802951678
2011-09-30,11761.97,0.06245291574605849,0.005833333333333334,0.06865055775457729,137.43199401047784,122.33968748277286
2011-10-31,11868.88,0.009089463754796245,0.005833333333333334,0.014975818960032639,139.49015067209504,123.45168963792064
2011-11-30,11532.83,-0.028313539272450283,0.005833333333333334,-0.02264536825153951,136.3313448426627,119.95633537510703
2011-12-31,11347.66,-0.016055903017732853,0.005833333333333334,-0.010316229118669584,134.92491945320947,118.03032808796168
2012-01-31,11874.89,0.04646156123817602,0.005833333333333334,0.05256592034539875,142.0173720217962,123.51420140438252
2012-02-29,12877.88,0.0844630981844885,0.005833333333333334,0.09078913292389812,154.91100608778575,133.94659352477956
2012-03-31,13761.76,0.06863552075341595,0.005833333333333334,0.07486922795781092,166.50907351574605,143.14008772449893
2012-04-30,13990.38,0.016612700701073013,0.005833333333333334,0.022542941455162557,170.26267781176486,145.51803116019138
2012-05-31,13786.62,-0.014564293464509048,0.005833333333333334,-0.008815918509718634,168.76165591892988,143.39866384999678
