Date,Close,High,Low,Open,Volume
2021-09-10,187.72511291503906,188.70716451734356,186.78639986535174,187.26297703379245,311176
2021-09-13,187.5277557373047,187.744389755745,187.02229594899214,187.72512980740814,377684
2021-09-14,185.30067443847656,190.3702612092702,183.58995053606333,190.3702612092702,179767
2021-09-15,185.25892639160156,186.14557270874724,184.111483020216,185.1546075699056,113427
2021-09-16,185.5875244140625,187.23566335378376,184.6330723148188,186.17168761750352,98092
2021-09-17,185.68142700195312,187.76245579361645,184.61743529574622,186.19254794484834,212378
2021-09-20,186.18734741210938,187.24089770815542,185.1546481515186,186.2760041048467,161595
2021-09-21,186.18734741210938,186.18734741210935,186.18734741210935,186.18734741210935,0
2021-09-22,185.0503387451172,185.28504819893814,183.8507515555966,185.16508311325737,500595
2021-09-23,185.54583740234375,186.43249991407342,184.63310313543133,186.19779045013837,122237
2021-09-24,186.56285095214844,186.84970386560528,184.11672236232087,184.64871020642627,307674
2021-09-27,186.65675354003906,188.0232444760865,185.66578816721866,186.71933848110672,516798
2021-09-28,186.65675354003906,186.65675354003906,186.65675354003906,186.65675354003906,0
2021-09-29,191.5489959716797,193.7604152678959,188.54479170752185,192.9780717338398,332397
2021-09-30,195.7684326171875,203.4093179144563,188.81079272982421,192.45650848829328,267529
2021-10-01,194.43841552734375,197.54171752247683,192.45648519021503,197.54171752247683,102836
2021-10-04,192.33656311035156,194.43845897400908,189.32715375184492,194.43845897400908,138576
2021-10-05,193.27537536621094,193.76042456055166,191.43946559814515,192.97808098897474,140460
2021-10-06,193.13453674316406,194.53233597344595,192.4617327546876,194.0211991274099,388300
2021-10-07,191.36647033691406,193.23887752354733,190.89706734005932,193.23887752354733,95161
2021-10-08,191.4290313720703,192.84768162066527,190.37026042337476,192.84768162066527,145478
2021-10-11,191.439453125,193.49441004579796,190.42762089834028,192.71206652519427,87583
2021-10-12,189.17588806152344,191.02222335971695,188.80558322516734,190.89705348079565,234313
2021-10-13,185.23287963867188,190.8761885189213,184.63308607349225,190.8761885189213,167739
2021-10-14,185.55621337890625,186.7193030356915,184.08541979255776,186.1977407367091,189876
2021-10-15,192.8633270263672,194.02119609132694,186.24992018393618,188.2735846683541,815066
2021-10-18,196.10223388671875,198.19370412095674,190.3702684319716,191.94017628694388,286363
2021-10-19,196.10223388671875,196.10223388671875,196.10223388671875,196.10223388671875,0
2021-10-20,198.3501739501953,199.236836395122,194.80355600413105,197.14536608198935,142010
2021-10-21,201.06752014160156,201.32308061687763,196.36823795920836,199.49239155208244,220113
2021-10-22,199.63841247558594,202.62697043365864,198.71525285771926,201.58384574674147,171928
2021-10-25,199.63841247558594,200.8015022315536,198.19891123107755,199.49759637290714,33200
2021-10-26,197.3852996826172,200.3842835287431,197.15059023227872,199.2889992885328,69988
2021-10-27,199.50283813476562,200.04525156907027,198.19371142120593,198.71527381968278,38950
2021-10-28,198.37103271484375,199.758390548778,198.19892413369885,199.758390548778,34823
2021-10-29,199.62799072265625,200.27472294735642,197.67213189780983,198.14153483240898,95519
2021-11-01,199.20030212402344,200.80150233933745,198.7413247148424,199.75837765186037,52951
2021-11-02,197.4947967529297,199.70621597194898,197.15056369994323,199.70621597194898,128540
2021-11-03,193.18670654296875,198.66311165130162,192.0653505851029,196.1648233404094,319145
2021-11-04,196.46731567382812,197.15056105387035,191.99230196188503,192.45650007639725,166264
2021-11-05,194.35501098632812,197.15057767519355,193.55180047242317,197.15057767519355,85006
2021-11-08,195.97706604003906,197.15058140554828,194.355014663787,194.49061006036322,317670
2021-11-09,196.43605041503906,197.40614884467547,194.82962930016274,197.40614884467547,345562
2021-11-10,198.590087890625,199.23682011909517,197.1453499768186,197.15057069376434,204034
2021-11-11,196.99932861328125,198.71005263962917,196.10746137067244,198.19893167707755,281291
2021-11-12,193.7917022705078,198.70482652921868,192.8789681731837,198.70482652921868,293417
2021-11-15,194.93914794921875,196.62900486047286,193.15539771870186,193.15539771870186,100702
2021-11-16,194.35501098632812,195.8466717381883,193.96904400553663,194.54276580118304,678736
2021-11-17,193.118896484375,194.54276751014814,192.45651799261302,194.54276751014814,95379
2021-11-18,192.4669189453125,194.0159596510488,190.7979290943924,194.0159596510488,196376
