Date,Close,High,Low,Open,Volume
2021-09-13,167.6699981689453,173.0,166.11000061035156,171.60000610351562,6784796
2021-09-14,165.50999450683594,169.0,162.0,167.0,6326496
2021-09-15,167.50999450683594,169.0,165.64999389648438,166.39999389648438,4627726
2021-09-16,176.66000366210938,180.0,166.61000061035156,168.0,32299424
2021-09-17,174.0500030517578,180.25,172.61000061035156,177.39999389648438,25234230
2021-09-20,174.9199981689453,175.7899932861328,171.5,173.50999450683594,9973876
2021-09-21,172.82000732421875,177.60000610351562,170.00999450683594,174.9199981689453,11959127
2021-09-22,169.38999938964844,174.32000732421875,161.3000030517578,172.0,10424971
2021-09-23,163.61000061035156,172.5,162.08999633789062,171.0500030517578,9709753
2021-09-24,161.22999572753906,165.99000549316406,158.02999877929688,163.5,8708970
2021-09-27,156.63999938964844,161.89999389648438,149.25999450683594,161.5,8552207
2021-09-28,156.63999938964844,156.63999938964844,156.63999938964844,156.63999938964844,0
2021-09-29,160.0500030517578,167.44000244140625,155.52999877929688,166.5,15653604
2021-09-30,161.6699981689453,162.97000122070312,156.16000366210938,157.0,6274213
2021-10-01,160.1199951171875,162.8000030517578,158.5500030517578,160.5,4461491
2021-10-04,164.57000732421875,165.85000610351562,157.0,159.10000610351562,9058475
2021-10-05,158.6199951171875,166.3000030517578,158.0,165.91000366210938,8645626
2021-10-06,157.72999572753906,159.75,150.00999450683594,159.0,7618372
2021-10-07,161.36000061035156,164.6999969482422,158.5500030517578,158.9499969482422,7978338
2021-10-08,160.0,162.0,159.0,162.0,2357193
2021-10-11,149.24000549316406,159.0,148.0,159.0,7126974
2021-10-12,141.08999633789062,148.4499969482422,139.0399932861328,148.0,12235659
2021-10-13,131.10000610351562,142.49000549316406,130.50999450683594,141.75,16266048
2021-10-14,138.66000366210938,140.1999969482422,125.5999984741211,130.0,13023467
2021-10-15,136.4199981689453,139.35000610351562,134.0,138.89999389648438,5213724
2021-10-18,128.4600067138672,134.39999389648438,127.69999694824219,133.0,6620247
2021-10-19,128.4600067138672,128.4600067138672,128.4600067138672,128.4600067138672,0
2021-10-20,134.35000610351562,136.10000610351562,129.60000610351562,130.0,7412437
2021-10-21,129.7899932861328,135.49000549316406,128.4600067138672,135.0,6377127
2021-10-22,126.20999908447266,130.5,121.05000305175781,129.00999450683594,13725483
2021-10-25,126.20999908447266,127.29000091552734,122.8499984741211,126.0,4713790
2021-10-26,123.45999908447266,128.89999389648438,123.0,128.0,4454543
2021-10-27,129.32000732421875,131.6999969482422,127.0,128.0,6707508
2021-10-28,126.81999969482422,129.6999969482422,125.97000122070312,129.0,4150531
2021-10-29,119.62000274658203,127.69999694824219,118.69999694824219,127.69999694824219,9853147
2021-11-01,123.81999969482422,126.20999908447266,115.75,121.0,12554190
2021-11-02,127.9800033569336,130.99000549316406,124.0,124.80000305175781,9225985
2021-11-03,134.91000366210938,135.97999572753906,128.10000610351562,128.4499969482422,16113966
