Date,Close,High,Low,Open,Volume
2021-09-10,400.12335205078125,400.85177758466745,386.22451424938936,395.5034357397022,317000
2021-09-13,398.8229064941406,402.8366170246784,393.55280219051906,401.36997885589926,313800
2021-09-14,395.884765625,403.3254955968885,391.59239027043355,400.881098653877,398400
2021-09-15,391.5141906738281,393.44524042708537,380.34817208157665,393.44524042708537,709000
2021-09-16,389.7395324707031,394.5256507508447,383.7703046337213,383.7703046337213,199200
2021-09-17,382.5676574707031,393.5430054674703,380.8419287836705,387.19246712557043,315400
2021-09-20,378.38287353515625,390.73686568716636,372.03722838652936,383.7703341437918,244200
2021-09-21,378.38287353515625,378.38287353515625,378.38287353515625,378.38287353515625,0
2021-09-22,355.4788818359375,361.7707573503156,347.10926886380423,361.7707573503156,930800
2021-09-23,348.77142333984375,359.3263422220918,342.75331940039837,356.88194533622726,311400
2021-09-24,351.25006103515625,353.9486848659857,343.68221748727615,349.54877027511014,729600
2021-09-27,363.6724853515625,377.59086683217,343.951078239235,351.9980434919763,951800
2021-09-28,363.6724853515625,363.6724853515625,363.6724853515625,363.6724853515625,0
2021-09-29,361.43341064453125,371.4456507267669,342.49422837324556,367.1484117493357,1912400
2021-09-30,355.6646423339844,359.27257454362393,344.1710833419187,358.83746473433,526000
2021-10-01,353.8264465332031,358.83746011104813,346.1265964013925,351.993148882772,279800
2021-10-04,354.6722106933594,356.88195508698107,344.1759845013163,344.1759845013163,311800
2021-10-05,347.7252502441406,356.8721644544962,342.26444602146074,356.8721644544962,111600
2021-10-06,345.1195068359375,347.5443592754911,341.237803408766,346.12659715387724,461400
2021-10-07,344.7822265625,347.07996590827975,343.1982619442106,344.17112725983696,166000
2021-10-08,354.73577880859375,366.6595546883793,337.4490101648717,344.77730769036384,153800
2021-10-11,337.6249694824219,349.5487442989163,333.90460469392985,347.593226848293,203800
2021-10-12,332.6971130371094,337.3267866412719,323.1492840143199,327.55409219090654,472200
2021-10-13,316.7156066894531,337.3267466606797,312.88277951135507,334.5890342754862,231800
2021-10-14,329.2113952636719,337.3267812539597,299.1941885904686,299.1941885904686,687200
2021-10-15,337.038330078125,342.2155759925838,320.7048826444785,325.1047971929546,396800
2021-10-18,325.1243591308594,334.3935236873297,320.2160204900599,331.9491265843522,74200
2021-10-19,325.1243591308594,325.1243591308594,325.1243591308594,325.1243591308594,0
2021-10-20,332.07135009765625,332.9268890931232,322.66042114752025,324.61593885144464,206200
2021-10-21,334.1197204589844,339.1356276089188,329.50469797626806,332.43797421938024,321000
2021-10-22,330.30645751953125,342.2155515522301,322.66037717781694,338.7933960367078,628798
2021-10-25,330.30645751953125,336.7400967596288,325.1047739746186,336.7400967596288,398458
2021-10-26,327.99896240234375,336.8379104091726,320.70489002673037,329.99359873177286,360602
2021-10-27,337.60052490234375,339.2822710706563,331.9490807737401,334.3934775393788,313236
2021-10-28,338.7151794433594,341.48222341452765,327.55894917935075,337.32674897068586,424510
2021-10-29,336.70098876953125,341.6680199284224,330.23801775577925,341.6680199284224,564330
2021-11-01,344.4595642089844,349.5487858501076,337.3268003308731,340.9836088498019,191632
2021-11-02,362.2547302246094,366.11199572833624,343.2422038064795,344.65996595658453,555554
2021-11-03,385.8334045410156,388.6591419333085,360.3041353520105,361.2818941996415,1212824
2021-11-04,395.679443359375,399.4144893192245,386.2147448741584,390.31155683347436,618736
2021-11-05,390.893310546875,395.0145603620721,387.6813692662415,394.9607907886887,236056
2021-11-08,389.85198974609375,395.9825266772298,381.5703715204378,381.5703715204378,624902
2021-11-09,385.40802001953125,393.5478730561616,374.48157858511775,388.6590796020478,453032
2021-11-10,385.74542236328125,392.0813106438449,383.77036016885074,389.6320198767069,268640
2021-11-11,384.58673095703125,388.6346665192011,383.7703107527224,387.68134576676295,222656
2021-11-12,378.534423828125,384.2592124037529,376.4322483539877,382.7925741884714,171640
2021-11-15,388.9426574707031,404.79211828842875,371.59719713576646,371.59719713576646,280232
2021-11-16,389.8226623535156,393.0590416275715,386.26360596240823,393.0590416275715,342862
2021-11-17,399.9473571777344,402.10330217948376,391.25017364833224,394.5256715609038,795480
2021-11-18,396.7451477050781,401.76105474617435,383.81917614735295,400.02064540657875,552820
2021-11-19,391.81243896484375,396.97011116554563,391.1035577985671,391.1035577985671,421876
2021-11-22,378.0406799316406,388.06270771586435,374.9705029512006,382.95391197516466,284682
2021-11-23,356.3050842285156,378.8815311079394,354.4375613590401,378.8815311079394,320086
2021-11-24,364.54266357421875,366.65951955532336,344.65994838200396,348.08210389785364,403180
2021-11-25,365.8333435058594,370.5217100922919,361.03743777380527,366.65955088741225,95410
2021-11-26,372.4038391113281,377.41485237144116,364.2151101252897,364.2151101252897,164928
2021-11-29,376.22198486328125,379.85924835771124,365.19776167986726,371.5434059843166,319694
2021-11-30,391.8857116699219,394.5256723423171,376.38825869680835,376.38825869680835,1717914
2021-12-01,386.7915954589844,390.60974233350623,381.8148068075052,384.7480831722236,62668
2021-12-02,357.7864074707031,387.1925178243345,357.7864074707031,387.18762425570424,221766
2021-12-03,356.63751220703125,369.0990429861526,339.77117338435465,342.21557031517733,611476
2021-12-06,367.9599609375,371.4994729048923,348.0821373999003,355.61089219492493,288150
2021-12-07,374.40338134765625,380.8321270138703,367.63727789142126,367.63727789142126,236466
2021-12-08,381.0423889160156,390.60976273940884,367.6373235838292,380.34818849497225,150166
2021-12-09,378.3535461425781,383.77033838187276,369.10395602332983,373.99275014284416,202896
2021-12-10,368.59063720703125,380.3481810519904,367.63731638958456,371.54835167032485,152710
2021-12-13,353.6553649902344,369.5683832717503,349.5487661516618,369.5683832717503,52642
2021-12-14,354.22735595703125,357.1313008318239,346.6154999997894,352.97093229879823,157384
2021-12-15,376.544677734375,378.2704363417132,362.7485153674329,365.188018803036,285918
2021-12-16,367.3782043457031,375.94338135400045,362.2645446965366,371.5483601313961,108948
2021-12-17,379.08197021484375,390.609755058606,361.77076343419327,364.2151604844243,144836
2021-12-20,375.8260498046875,381.8148226308435,371.5483549288618,381.8148226308435,220780
2021-12-21,372.2621154785156,377.85000339201014,370.57058202702024,372.5260996102763,107544
2021-12-22,371.4652404785156,376.4371355898098,363.237391874323,371.54834162111104,149474
2021-12-23,368.37066650390625,373.2594610162341,365.1929500708931,365.1929500708931,47254
2021-12-24,372.0518798828125,375.45935475633576,365.1928880247172,365.1928880247172,62644
2021-12-27,374.2615966796875,375.9482364782072,366.17064905354647,367.1484077960125,21776
2021-12-28,373.09808349609375,375.4593793539344,369.5928265515292,375.4593793539344,23208
2021-12-29,367.0457458496094,373.259413627882,365.74044623540976,368.1261800416439,215570
2021-12-30,375.10736083984375,378.3926157391277,364.2151146326229,366.6595113751237,286812
2021-12-31,371.47015380859375,374.9705173473131,368.6199784183429,374.9705173473131,472940
2022-01-03,379.6344299316406,381.81484297795043,368.61509808626715,368.61509808626715,133994
2022-01-04,389.34844970703125,390.1257811218112,379.6344179200897,380.3481926225177,267864
2022-01-05,385.711181640625,390.1257771254736,383.770344666036,390.1257771254736,24236
2022-01-06,384.6063232421875,389.6368815226274,377.85489992654686,381.3259317285437,82592
2022-01-07,394.3056640625,398.43670085508245,383.770319228515,384.7480780036195,287984
2022-01-10,395.884765625,398.9255810994679,391.10351088183126,393.30346813054155,144556
2022-01-11,384.146728515625,395.7478257046575,381.3503231748141,395.7478257046575,279310
2022-01-12,382.92950439453125,387.68139825734073,378.9695630033569,384.7481215996559,214336
2022-01-13,379.9228210449219,384.25917859951755,379.3703849786586,383.28141987534576,95236
2022-01-14,381.3112487792969,383.2814470709353,378.88153249996793,384.74319169307716,108230
2022-01-17,381.3503723144531,382.79257252096363,376.43714028242914,381.27705830730696,240034
2022-01-18,378.94512939453125,383.27659414796847,377.4149343332496,380.59265074926793,342658
2022-01-19,378.7641906738281,381.32591383357436,375.94824068976754,378.8815169500258,872570
2022-01-20,376.5691223144531,378.6370725035229,371.53364092655823,376.437115335975,409586
2022-01-21,381.13037109375,383.77033180860263,376.4615787573478,376.4615787573478,85988
2022-01-24,376.8575744628906,388.6591305700737,373.99764185271874,381.32593942724213,116300
2022-01-25,366.78668212890625,379.24821389638686,364.94849071692266,379.24821389638686,1440758
2022-01-26,363.72625732421875,369.0990369155883,361.47253055238633,369.0990369155883,345090
2022-01-27,363.7018127441406,366.3173054342609,362.9929316909179,366.3173054342609,105396
2022-01-28,359.737060546875,364.21518309177594,359.3263886878595,364.21518309177594,99394
2022-01-31,360.37255859375,363.23738464103985,358.34859076969343,361.2818670925013,90402
2022-02-01,358.8619079589844,363.22759730301095,358.06992573937276,359.3263493442701,102782
2022-02-02,359.3116760253906,361.765860146312,357.8597185392021,361.765860146312,354262
2022-02-03,360.8321228027344,364.21515996051505,359.81524527642824,360.24546154375656,131636
2022-02-04,355.4788818359375,364.20536722297703,351.9931693138206,364.20536722297703,339564
2022-02-07,356.63751220703125,358.34859005860716,355.4153137416199,358.34859005860716,26428
2022-02-08,353.4499816894531,358.837441656204,351.99313077992764,358.837441656204,46126
2022-02-09,350.1745300292969,354.4326502519933,349.54875011205286,354.4326502519933,401946
2022-02-10,344.7040100097656,351.005643177311,343.926678587922,351.005643177311,550580
2022-02-11,347.3487854003906,354.4375361228476,342.21555211861147,346.126586999967,1250068
2022-02-14,339.0622863769531,351.4993789370259,334.88237366611276,351.4993789370259,166254
2022-02-15,337.3023681640625,341.2378416015865,334.9068470253092,339.0672157422581,207410
2022-02-16,336.47125244140625,339.77118844428236,334.8823943659474,339.77118844428236,157548
2022-02-17,335.3370361328125,336.83789943956714,332.9268643227071,332.9268643227071,501594
2022-02-18,338.8863220214844,339.7711925668462,335.371277842959,335.371277842959,169710
2022-02-21,337.2534484863281,339.5267496745411,336.34903351488015,338.3045511515946,17662
2022-02-22,330.49713134765625,335.86501722537304,325.5887634276308,335.86501722537304,320016
2022-02-23,332.35980224609375,334.29574567704674,330.4824921203476,330.4824921203476,148462
2022-02-24,313.1223449707031,321.3159680398537,311.41616073242574,320.2208830180842,578878
2022-02-25,312.33526611328125,325.1047933538478,307.97933405198347,307.99890832437467,167910
2022-02-28,315.8063049316406,315.81609206805615,298.7151002224562,311.9050568721669,139494
2022-03-01,318.9009094238281,327.5491869105877,315.0534310631937,327.5491869105877,561358
2022-03-02,310.10107421875,318.260472156216,307.9940053124671,318.260472156216,454010
2022-03-03,305.4371643066406,310.438390562074,304.68427100275835,310.438390562074,67786
2022-03-04,312.81927490234375,314.8334557437563,305.4372075294691,305.4372075294691,274196
2022-03-07,298.6271057128906,308.97178068391867,297.27779379518466,308.97178068391867,257048
2022-03-08,297.932861328125,312.3939216426031,293.5818527797493,296.26090221505086,553138
2022-03-09,309.43133544921875,310.92730525263573,295.7720435186236,305.5496317341153,168752
2022-03-10,329.9642639160156,332.63841991531945,312.93169246581925,317.7716104684869,919634
2022-03-11,348.585693359375,354.7113367331741,344.9337487204191,354.68200516268905,2806294
2022-03-14,348.57098388671875,358.5099096362849,343.19331092352957,349.0598632470087,719738
2022-03-15,353.59674072265625,354.5255937685875,349.5976805883185,350.5265634730832,280464
2022-03-16,372.1154479980469,373.99275810901344,354.43758121442454,354.43758121442454,788546
2022-03-17,373.4940490722656,381.05702839230224,372.16431151730404,372.16431151730404,267122
2022-03-18,355.13665771484375,371.5483426958999,351.99806033273245,371.5483426958999,1239758
2022-03-21,354.3153381347656,360.3041106661915,352.7264801162241,356.8281853623321,257498
2022-03-22,351.0447082519531,356.8819289407843,349.5487386200832,354.46197016718736,327858
2022-03-23,351.0447082519531,351.0447082519531,351.0447082519531,351.0447082519531,0
2022-03-24,349.2407531738281,351.99314641414503,339.8493697337724,349.54874956404683,705084
2022-03-25,345.1537780761719,350.58522149116783,344.1711256279357,350.58522149116783,448124
2022-03-28,344.3031005859375,346.1266111783242,340.74893784080786,345.14885238968486,563604
2022-03-29,348.9865417480469,351.1033978684861,345.6377298512156,346.6154886343874,580498
2022-03-30,350.8785095214844,352.4771547119019,344.68441586289066,349.0647860398072,1185244
2022-03-31,370.9603576660156,372.06677153065226,348.92028750649047,372.06677153065226,575240
2022-04-01,374.05438232421875,385.77448657607596,370.20643586039324,370.98972235810805,538206
2022-04-04,366.250732421875,371.05822974631144,355.52932404613586,362.27549559042774,195758
2022-04-05,366.8871765136719,375.98323768780494,363.3035826938044,368.1404527774127,241366
2022-04-06,372.7521667480469,375.004137869227,366.38786675809916,367.17115326621445,148557
2022-04-07,376.707763671875,376.9623452070093,371.5771688469092,375.98322223244566,857934
2022-04-08,380.3599548339844,384.7855805237106,374.0250271321042,375.1020685266406,278285
2022-04-11,404.17218017578125,408.88175928296414,393.705353209553,393.705353209553,1552134
2022-04-12,404.0938415527344,406.33604157033875,396.5448116529812,406.33604157033875,268638
2022-04-13,401.6362609863281,405.35691638258237,396.75041696532134,404.10364015516876,248357
2022-04-14,402.7916259765625,403.5945140107752,399.97174694549744,402.4195544543438,113277
2022-04-15,399.6192932128906,405.38631239976604,398.5030786009679,404.3778168604416,176127
2022-04-18,392.7850036621094,401.7831468210743,390.777783494932,399.67803825393156,271650
2022-04-19,389.8280334472656,394.4886384637054,385.2946893172821,393.60743376718466,149133
2022-04-20,384.97161865234375,391.6492454587269,381.86781511514437,391.551327171269,99930
2022-04-21,379.94866943359375,385.77446325472715,376.9623562260659,383.8260180401379,118497
2022-04-22,383.8260498046875,386.2640567226328,377.9415105068093,379.948700877263,136856
2022-04-25,397.4554138183594,398.50308265660584,383.8358085625479,386.7536060180818,453184
2022-04-26,395.5069274902344,399.48216428359996,393.7053448448068,398.49324054066017,352396
2022-04-27,385.2751159667969,395.5657086928062,378.9206169903861,392.7752020489548,202810
2022-04-28,379.4003601074219,388.7020285681747,370.11829323008243,385.5492513262589,358460
2022-04-29,379.4003601074219,379.4003601074219,379.4003601074219,379.4003601074219,0
2022-05-02,379.4003601074219,379.4003601074219,379.4003601074219,379.4003601074219,0
2022-05-03,379.4003601074219,379.4003601074219,379.4003601074219,379.4003601074219,0
2022-05-04,379.4003601074219,379.4003601074219,379.4003601074219,379.4003601074219,0
2022-05-05,379.4003601074219,379.4003601074219,379.4003601074219,379.4003601074219,0
